predictor,PC1_r,PC2_r
ln_q2wk_q75,0.957194689233537,0.13789673880416406
ln_q2wk_mu,0.9552876421926229,0.05747190186200814
ln_q2wk_max,0.9148072666708844,-0.10449595976332487
ln_q2wk_med,0.8608696966343673,0.4485862998046125
ln_q2wk_sd,0.823969676775584,-0.2963769797329974
sqrt_q2wk_q25,0.8030119832652425,0.5355191520088823
sqrt_q2wk_min,0.7506678372299368,0.5838233000628029
width,0.5516842557463445,-0.3627194548295336
bluegreen_cyano,-0.5259148786750404,0.14586230650168483
depth_mx,0.49727741350003285,-0.27684409322625936
rain,0.44394812717170523,-0.16943067215686416
sand,0.3571422528607576,-0.2529342070240383
silt,-0.3254542899398608,-0.22362187095366687
canopy,0.3160430228273545,-0.13477499870535622
diatoms,-0.28527361078716307,0.3545779843467677
ln_q2wk_rsd,0.25724531601882605,-0.753263990972175
ln_ammonia,-0.230613380215782,-0.186663542069581
green_algae,-0.20884643503343353,-0.3039333370268926
ln_q2wk_cdc,0.2086441104533959,-0.7521513924440224
temperature,0.17158168860529785,-0.1221544353182094
sqrt_gravel,-0.16470012476977458,0.5194616948237712
turbidity,0.14903250966921236,-0.2473156010130619
doc,0.10366097653501119,-0.4463111966377875
conductivity,-0.08910670274323844,-0.38978005242192715
ln_nitrate,-0.0750112694413144,0.6021163709666159
sqrt_phosphate,0.03494736378811953,0.413051235621886
ph,0.030749124935861134,-0.24689577335212085
d_oxygen,-0.027153488285503683,0.48390973140995636
