transient_type,site_code,annualrain,probability_of_occurance,r.squared,p.value
Diadromous,SF,56.67231884,8.333333333333332,0.2576121833629459,0.163067440249758
Diadromous,TR,54.17231884,5.555555555555555,0.2576121833629459,0.163067440249758
Diadromous,AR,68.5326087,50,0.2576121833629459,0.163067440249758
Diadromous,PD,78.72898551,38.46153846153847,0.2576121833629459,0.163067440249758
Diadromous,MR,72.85028986,76,0.2576121833629459,0.163067440249758
Diadromous,GC,84.25101449,35.714285714285715,0.2576121833629459,0.163067440249758
Diadromous,PL,82.05065217,83.87096774193549,0.2576121833629459,0.163067440249758
Diadromous,WM,94.17101449,45.16129032258064,0.2576121833629459,0.163067440249758
Diadromous,EM,95.02463768,43.75,0.2576121833629459,0.163067440249758
Euryhaline,SF,56.67231884,62.5,0.46595249391539145,0.04274990279397676
Euryhaline,TR,54.17231884,77.77777777777779,0.46595249391539145,0.04274990279397676
Euryhaline,AR,68.5326087,6.25,0.46595249391539145,0.04274990279397676
Euryhaline,PD,78.72898551,38.46153846153847,0.46595249391539145,0.04274990279397676
Euryhaline,MR,72.85028986,48,0.46595249391539145,0.04274990279397676
Euryhaline,GC,84.25101449,7.142857142857142,0.46595249391539145,0.04274990279397676
Euryhaline,PL,82.05065217,48.38709677419355,0.46595249391539145,0.04274990279397676
Euryhaline,WM,94.17101449,12.903225806451612,0.46595249391539145,0.04274990279397676
Euryhaline,EM,95.02463768,25,0.46595249391539145,0.04274990279397676
Freshwater,SF,56.67231884,95.83333333333334,0.02485646960697975,0.685397676552454
Freshwater,TR,54.17231884,88.88888888888889,0.02485646960697975,0.685397676552454
Freshwater,AR,68.5326087,78.125,0.02485646960697975,0.685397676552454
Freshwater,PD,78.72898551,76.92307692307693,0.02485646960697975,0.685397676552454
Freshwater,MR,72.85028986,76,0.02485646960697975,0.685397676552454
Freshwater,GC,84.25101449,85.71428571428571,0.02485646960697975,0.685397676552454
Freshwater,PL,82.05065217,87.09677419354838,0.02485646960697975,0.685397676552454
Freshwater,WM,94.17101449,93.54838709677419,0.02485646960697975,0.685397676552454
Freshwater,EM,95.02463768,81.25,0.02485646960697975,0.685397676552454
