term,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,green_algae,ph,rain,sand,silt,temperature,turbidity,width,ln_ammonia,ln_nitrate,ln_q2wk_cdc,ln_q2wk_max,ln_q2wk_med,ln_q2wk_mu,ln_q2wk_q75,ln_q2wk_rsd,ln_q2wk_sd,sqrt_gravel,sqrt_phosphate,sqrt_q2wk_min,sqrt_q2wk_q25
bluegreen_cyano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canopy,-.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
conductivity,-.06, .21,,,,,,,,,,,,,,,,,,,,,,,,,,
d_oxygen, .33,-.28,-.20,,,,,,,,,,,,,,,,,,,,,,,,,
depth_mx,-.36,-.07,-.11,-.05,,,,,,,,,,,,,,,,,,,,,,,,
diatoms, .20, .12, .10, .17,-.35,,,,,,,,,,,,,,,,,,,,,,,
doc,-.13, .32, .27,-.31,-.01,-.21,,,,,,,,,,,,,,,,,,,,,,
green_algae,-.04, .11,-.12,-.14,-.01,-.05, .02,,,,,,,,,,,,,,,,,,,,,
ph, .36,-.11, .34, .32, .01,-.07, .14,-.09,,,,,,,,,,,,,,,,,,,,
rain,-.17,-.11,-.10,-.18, .26,-.33, .05,-.29, .04,,,,,,,,,,,,,,,,,,,
sand,-.10,-.01,-.48,-.04, .40,-.23,-.02, .22,-.05, .16,,,,,,,,,,,,,,,,,,
silt,-.07, .07, .61,-.14,-.11, .08, .17,-.03, .06,-.21,-.73,,,,,,,,,,,,,,,,,
temperature, .17,-.12, .06,-.03, .01,-.28, .04,-.11, .28, .45,-.03,-.08,,,,,,,,,,,,,,,,
turbidity,-.13,-.17, .20,-.16, .26,-.28, .12, .01,-.06, .07, .05, .04, .04,,,,,,,,,,,,,,,
width,-.38, .21,-.22,-.12, .70,-.35, .15, .14,-.03, .20, .62,-.24,-.08,-.05,,,,,,,,,,,,,,
ln_ammonia, .14, .13, .08,-.10,-.24,-.08, .38, .04, .03,-.10,-.11, .03, .16, .05,-.20,,,,,,,,,,,,,
ln_nitrate,-.08, .26,-.10, .16,-.37, .30,-.17,-.18,-.30,-.16,-.39, .03,-.12,-.08,-.40, .23,,,,,,,,,,,,
ln_q2wk_cdc,-.10, .31, .41,-.31, .03,-.13, .32, .15, .31, .24, .10, .13, .24, .19, .12, .32,-.25,,,,,,,,,,,
ln_q2wk_max,-.45, .35, .15,-.06, .30,-.20, .18,-.23, .15, .39, .16,-.15, .19, .23, .34,-.10,-.00, .46,,,,,,,,,,
ln_q2wk_med,-.36, .20,-.16, .18, .29,-.08,-.04,-.32,-.03, .25, .11,-.27, .10, .02, .29,-.29, .14,-.38, .74,,,,,,,,,
ln_q2wk_mu,-.46, .35, .05,-.00, .32,-.20, .14,-.25, .07, .37, .17,-.21, .18, .19, .36,-.15, .05, .20, .97, .86,,,,,,,,
ln_q2wk_q75,-.45, .33,-.02, .04, .33,-.20, .11,-.27, .04, .37, .18,-.26, .18, .18, .36,-.17, .08, .08, .94, .90, .99,,,,,,,
ln_q2wk_rsd,-.13, .31, .40,-.32, .09,-.16, .32, .13, .32, .26, .12, .12, .25, .20, .16, .31,-.27, .99, .49,-.34, .24, .11,,,,,,
ln_q2wk_sd,-.28, .15, .07,-.07, .36,-.33, .16,-.09, .25, .44, .29,-.24, .36, .18, .40,-.06,-.33, .53, .99, .55, .92, .85, .56,,,,,
sqrt_gravel,-.16, .21, .00, .14,-.18, .21,-.27,-.36,-.21, .04,-.41,-.14, .08,-.02,-.40,-.00, .55,-.24, .16, .37, .25, .31,-.25,-.00,,,,
sqrt_phosphate,-.15, .35,-.09,-.04,-.21, .16,-.06,-.02,-.31,-.07,-.33,-.01, .06,-.05,-.26, .20, .76,-.08, .07, .14, .13, .17,-.09,-.06, .56,,,
sqrt_q2wk_min,-.27, .18,-.29, .28, .21, .03,-.14,-.26,-.06, .13, .19,-.38,-.01,-.10, .26,-.30, .19,-.53, .60, .94, .73, .78,-.50, .32, .37, .12,,
sqrt_q2wk_q25,-.33, .19,-.22, .24, .25,-.02,-.10,-.29,-.07, .19, .12,-.30, .06,-.06, .26,-.29, .18,-.48, .66, .98, .79, .83,-.44, .42, .37, .14, .98,
