Iso Period,Site Code,Q2wk Cdc,Q2wk Max,Q2wk Med,Q2wk Min,Q2wk Mu,Q2wk Q25,Q2wk Q75,Q2wk Rsd,Q2wk Sd
January,AR,0.7406451612903223,127.99216199999998,109.72779375,95.4277845,110.03118857142856,102.36541275,119.001562125,0.09761796872784136,10.711404338862526
June,AR,19.986666666666668,1027.901655,106.1881875,65.69509199999999,258.49238785714283,90.401543625,324.865061625,2.726974438329334,289.5724729650225
November,AR,0.5521472392638039,90.3307515,69.23469825,60.598059,71.88434635714286,66.75697387499999,75.03965249999999,0.12226715482423328,8.465129570141821
September,AR,18.93180762589969,3989.7570362307692,482.3230842692307,67.00202353846153,1033.7206120879123,120.66789983653845,1860.781896721154,1.8698219130273315,1207.110676189983
January,EM,0.6190476190476193,13.592088,11.893077,11.32674,12.01443492857143,11.6099085,12.31782975,0.05502349189426026,0.6543986259073131
June,EM,19.96193029490617,14838.0294,1056.2185049999998,65.4119235,2755.269957642857,246.6397635,3104.23468125,3.994649594734307,4219.222822949125
November,EM,1.2499999999999998,3.1148534999999997,2.265348,1.9821795,2.4069322499999997,2.265348,2.5485165,0.15309310892394862,0.3468091681146491
September,EM,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
January,GC,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
June,GC,4780,521.03004,0.2831685,0.2831685,61.58914875,0.2831685,29.1663555,501.5164312056294,142.01365554985125
November,GC,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
September,GC,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
January,MR,0.8231173380035032,92.879268,80.84460675,73.34064149999999,84.22240242857143,79.00401149999999,91.958970375,0.0844295111319867,6.825670625560211
June,MR,63.845620121422385,5012.08245,163.24664024999998,21.8039745,562.2917357142857,98.11788525,240.764017125,8.011010431573409,1307.770537962061
November,MR,44.55,144.6991035,11.32674,4.2475274999999995,37.0950735,9.698521125,18.618328875000003,4.612618562161844,52.24593117278105
September,MR,38,515.36667,19.96337925,2.5485165,87.43838753571428,4.530696,74.61489975,7.811910176798499,155.95212552636298
January,PD,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
June,PD,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
November,PD,0.3267973856209149,7.22079675,5.6279739375,5.026240875,5.754388446428571,5.3448054375,5.9996325937499995,0.02797826596494233,0.6060761158508736
September,PD,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0
January,PL,1.3071895424836597,28.0336815,21.66239025,19.255458,22.168048285714285,20.52971625,23.149024875,0.11191306385976932,2.4243044634034945
June,PL,152.7956989247312,767.386635,13.16733525,7.362381,96.37842160714284,8.7782235,79.5703485,15.33274425508016,201.89138390915195
November,PL,22.122807017543856,191.70507449999997,16.1406045,14.4415935,33.899314714285715,15.361891125,19.39704225,2.9617478147557574,47.80440010671194
September,PL,1.376344086021506,19.821795,13.16733525,12.7425825,14.097746035714286,13.025751,14.370801375,0.14879735459269733,1.9592646522351729
January,SF,0.36305732484076425,46.1564655,44.4574545,39.07725299999999,44.31587025,43.8911175,45.23616787499999,0.03860249357849674,1.7161686018525613
June,SF,2.7622950819672134,42.7584435,34.54655699999999,5.6633700000000005,31.12830867857143,27.608928749999997,37.732202625,0.3155547608252966,10.901330531472476
November,SF,2.5043478260869563,40.776264,32.5643775,13.025751,30.50129271428571,27.467344500000003,33.90942787499999,0.21155863888556853,6.889275380055833
September,SF,2.762295081967214,37.944579,34.54655699999999,4.530696,26.516707392857143,17.060902125,36.67032075,0.3652918679497324,12.6195763377619
January,TR,26.333333333333336,10.4772345,0.8495054999999999,0.2831685,1.6787846785714284,0.35396062500000003,1.132674,3.2409355136538904,2.753192543994305
June,TR,2558.857142857143,3454.6557,2.9732692499999995,0.2831685,343.9688222142857,0.637129125,277.50513,306.7150518755495,911.946432253726
November,TR,190.00000000000003,49.5544875,0.566337,0.2831685,7.261249392857143,0.2831685,3.185645625,27.82749549446564,15.759740315849188
September,TR,101.6986301369863,588.99048,10.33565025,1.6990109999999998,66.52437117857143,4.95544875,18.051991875,15.623973425825175,161.48392484462337
January,WM,4.181818181818181,19.538626499999996,9.3445605,3.964359,10.092934392857142,6.442083375,12.60099825,0.472991251209495,4.419895362897824
June,WM,21.38223140495868,21860.6082,2741.0710799999997,297.32692499999996,6853.486752857142,751.8123674999999,13712.4346125,2.8583961717094977,7835.067081455618
November,WM,2.984671532846716,566.337,387.940845,234.1803495,393.34127282142856,324.22793249999995,451.6537575,0.26507314237298074,102.83269883897944
September,WM,44.193548387096776,308.653665,8.7782235,3.964359,48.21955028571429,5.875746375,31.360911375,10.201636617212142,89.55224629167212
