Iso Period,Site Code,Gravel,Sand,Silt,Canopy,Depth Mx,Width
January,AR,0.265,0.405,0.22500000000000003,0.777027027027027,0.2725,4.9775
June,AR,0.25,0.6,0,0.9054054054054056,0.37825,5.53385
November,AR,0.175,0.375,0.1,0.8581081081081082,0.265,4.2804
September,AR,0.15875,0.43062500000000004,0.04125,0.891891891891892,0.19,4.604025
January,EM,0.1075,0.4325,0.4575,0.027027027027027,0.37175,4.8075
June,EM,0,0.775,0.225,0.04729729729729725,0.6645,6.09865
November,EM,0,0.5375,0.4625,0.054054054054054,0.54,5.4209499999999995
September,EM,0.0375,0.3625,0.6,0.06081081081081075,0.4875,5.690475
January,GC,0,0.7125,0.2875,0.554054054054054,0.2125,6.625
June,GC,0.02173913043478261,0.8217391304347825,0.1565217391304348,0.7905405405405405,0.4545,6.8035
November,GC,0,0.5,0.5,0.7027027027027027,0.1475,5.018225
September,GC,0,0.9,0.1,0.7027027027027027,0.2984038461538462,6.458883653846155
January,MR,0,0.7,0.3,0.41891891891891897,0.63,7.172499999999999
June,MR,0.1675,0.3125,0.4775,0.5337837837837838,0.69275,6.5725750000000005
November,MR,0,0.525,0.475,0.5,0.6475,8.111725
September,MR,0,0.85,0.15,0.5202702702702703,0.34750000000000003,6.50575
January,PD,0,0.575,0.425,0.027027027027027,0.58,6.4525
June,PD,0.075,0.8,0,0,0.5505,6.502975
November,PD,0.0359375,0.40625000000000006,0.23125,0,0.12783333333333333,2.0893394736842104
September,PD,0.05,0.2,0.25,0,0.22765384615384618,3.5226796875
January,PL,0.2,0.4375,0.3375,0.3716216216216215,0.1725,4.3525
June,PL,0.05,0.675,0.075,0.49324324324324326,0.183,4.2334499999999995
November,PL,0,0.4625,0.3375,0.28378378378378377,0.1775,3.3796
September,PL,0.025,0.6,0.225,0.2094594594594593,0.16499999999999998,4.1658
January,SF,0.225,0.125,0.45,0.7162162162162162,0.185,3.2875
June,SF,0.3,0.175,0.425,0.7364864864864865,0.163875,2.9379
November,SF,0.275,0.0625,0.4875,0.8243243243243242,0.19,2.934
September,SF,0.225,0.05,0.6875,0.7837837837837838,0.1875,2.890025
January,TR,0.475,0.1,0.425,0.8175675675675678,0.3775,4.1225
June,TR,0,0.125,0.875,0.8851351351351353,0.45,4.44105
November,TR,0,0.175,0.825,0.8581081081081082,0.2675,4.122275
September,TR,0.025,0.05,0.925,0.945945945945946,0.29,3.6517
January,WM,0,0.4,0.6,0.9121621621621624,0.5525,7.4025
June,WM,0,1,0,0.8040540540540541,0.7514285714285714,11.3235
November,WM,0,0.775,0.225,0.7702702702702703,0.66,11.151775
September,WM,0,0.8,0.2,0.9189189189189192,0.6775,8.75145
