Iso Period,Site Code,Ammonia,Conductivity,D Oxygen,DOC,Nitrate,pH,Phosphate,Temperature,Turbidity
January,AR,0.08799,1318,80.025,7.686,11.1645,7.7375,1.86575,21.45,6.074999999999999
June,AR,0.0830375,700.75,61.025,7.775998376623376,0.2991,7.645,0.51035,27.525,11.3
November,AR,0.102815,955,85.025,7.5245,6.0715,8.3,2.0125,16.6,4.797499999999999
September,AR,0.1876,831.0538461538462,71.7951923076923,8.314666666666668,0.68035,8.104711538461538,1.051375,23.67019230769231,10.1675
January,EM,0.1120075,822.75,78.775,3.2775,0.268775,7.4725,0.059575,16.975,54.125
June,EM,0.0848225,302,44.65,7.160672077922078,0.25924125000000003,7.315,0.32497875,24.85,123
November,EM,0.103035,767.5,97.475,2.96,0.08033499999999999,7.9075,0.03660249999999999,22.625,16.2125
September,EM,0.1022025,482.17211538461544,61.9375,3.836,0.085175,7.840000000000001,0.046135,24.254807692307693,40.275288461538466
January,GC,0.07704749999999999,553.5,55.175,10.495,0.1075,7.922499999999999,0.101555,18.85,9.5
June,GC,0.2178375,293.8,27.15,10.331980519480519,0.09268375000000001,7.34,0.1317625,24.85,60.974999999999994
November,GC,0.116855,444.325,37.625,6.59825,0.1,5.609999999999999,0.061805,16.475,1.7875
September,GC,0.56785,353.4488636363636,35.211363636363636,11.625,0.1,7.251818181818181,0.5725,21.387500000000003,13.084204545454543
January,MR,0.08168500000000001,2461.25,68.875,5.3335,0.1,7.765,0.1123,21.3,21.025
June,MR,0.091265,1496,48.175,8.472826298701298,0.077825,7.7575,0.13253,29.5,19.7
November,MR,0.096205,6645,62.525,7.89325,0.1,7.705,0.0507375,21.7,31.64
September,MR,0.173875,3556.8269230769233,59.54096153846154,11.273333333333332,0.1,7.936442307692308,0.0549875,24.791346153846156,17.181346153846157
January,PD,0.0746575,1005.5,79.15,3.07275,0.1,7.76,0.103565,20.125,7.15
June,PD,0.1345,631,74.125,6.522055194805194,0.098255,7.6725,0.0808575,24.9,18.1
November,PD,0.172925,1152.611111111111,81.69722222222222,4.01375,0.1,8.444444444444443,0.05658499999999999,29.569444444444443,40.636111111111106
September,PD,6.83,1021.5384615384614,78.47115384615384,23.6725,0.1,8.265192307692308,0.0694375,28.234615384615388,36.77307692307692
January,PL,0.13735,2021.5,111.725,4.8345,1.8315,8.0525,0.0909875,21.950000000000003,47.925
June,PL,0.10416375,485.275,71.625,5.332920454545453,0.16991499999999998,7.82,0.09619125,25.6,25.5
November,PL,0.206975,1788.75,54.25,3.83275,1.369925,7.734999999999999,0.051785,20.625,27.99
September,PL,0.16405,1478.7434782608698,63.13152173913044,5.2330000000000005,0.1,8.029565217391305,0.0465625,22.6804347826087,31.717173913043478
January,SF,0.147075,995.25,78.69999999999999,7.4625,11.71,7.295,2.72825,20.25,5.725
June,SF,0.35975,1062.75,68.075,6.474084415584414,14.53525,7.1175,5.37575,28.15,36.35
November,SF,0.161975,1092.25,67.7,7.1575,8.2595,6.805,3.13125,25.275,5.1075
September,SF,0.225775,1100.6634615384617,66.89807692307693,7.77475,4.58525,6.940096153846154,1.22025,26.025961538461537,14.523365384615385
January,TR,0.181175,6215.5,45.65,8.4445,1.0284,8.275,0.21735,16.975,20.525
June,TR,0.211725,7451,10.675,13.460175324675323,0.27875,7.57,0.1188025,28.35,79.4
November,TR,0.174175,5492.75,31.725,7.08075,0.682125,8.29,0.07703,20.775,15.1175
September,TR,0.218025,5678.394230769231,64.65384615384616,15.5875,0.90405,8.57375,0.183825,24.658653846153843,34.52173076923077
January,WM,0.102075,719,61.2,10.00475,0.1,7.7525,0.1793,18.175,44.375
June,WM,0.0822175,362.175,76.85,10.313457792207792,0.1154,7.715,0.0637875,25.675,29.5
November,WM,0.160725,675.5,57.85,10.755,0.1,7.9475,0.074435,21.925,6.609999999999999
September,WM,0.119225,424.66323529411767,71.54705882352941,7.725,0.1,7.873823529411765,0.13555,24.50735294117647,16.596176470588237
