term,annual_temp,annual_rain,developed_land,forest_land,crop_land,other_land,q_med,q_max,q_mu,q_sd,q_rsd,q_25,q_75,q_wcdc,q_cdc,q_fs,q_ds,q_lfpp,q_hfpp3,q_hfpp7,q_hfpp15,ammonia,conductivity,d_oxygen,doc,nitrate,ph,phosphate,temperature,turbidity,gravel,sand,silt,canopy,depth_mx,width,bluegreen_cyano,green_algae,diatoms,elevation_m,dam_distance_km,lake_density_sqkm,bay_distance_km
annual_temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annual_rain,-.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
developed_land, .50,-.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forest_land,-.15, .25,-.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crop_land,-.86, .82,-.18,-.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_land, .92,-.93, .28,-.18,-.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_med,-.44, .31,-.34,-.29, .38,-.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_max,-.21, .05,-.35,-.20, .11, .07, .70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_mu,-.61, .52,-.43,-.19, .50,-.35, .95, .62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_sd,-.49, .37,-.48,-.15, .34,-.18, .89, .84, .93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_rsd,-.06, .20,-.41, .82,-.25,-.13,-.43,-.39,-.40,-.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_25,-.31, .14,-.24,-.37, .31,-.07, .92, .84, .79, .82,-.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_75,-.55, .45,-.34,-.27, .51,-.33, .96, .51, .94, .80,-.38, .83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_wcdc, .02, .08,-.35, .76,-.34,-.01,-.30,-.31,-.35,-.38, .96,-.33,-.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_cdc,-.19, .34,-.36, .82,-.09,-.32,-.50,-.48,-.40,-.44, .96,-.57,-.42, .86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_fs,-.33, .49,-.36, .73, .10,-.46,-.51,-.51,-.34,-.39, .85,-.61,-.41, .69, .96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_ds,-.44, .51,-.05, .20, .27,-.40, .15,-.28, .38, .21, .00,-.20, .26,-.06, .16, .29,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_lfpp,-.11, .01, .23,-.69, .40,-.07, .31, .36, .39, .44,-.92, .34, .29,-.99,-.80,-.62, .06,,,,,,,,,,,,,,,,,,,,,,,,,,
q_hfpp3,-.42, .55, .03, .35, .31,-.55,-.23,-.68,-.04,-.30, .40,-.53,-.04, .33, .56, .65, .79,-.34,,,,,,,,,,,,,,,,,,,,,,,,,
q_hfpp7,-.43, .53, .23, .10, .45,-.59,-.25,-.64,-.03,-.26, .11,-.51,-.06,-.01, .33, .49, .80, .00, .93,,,,,,,,,,,,,,,,,,,,,,,,
q_hfpp15,-.45, .53, .26, .09, .48,-.63,-.26,-.58,-.03,-.23, .04,-.48,-.09,-.09, .29, .47, .77, .09, .87, .99,,,,,,,,,,,,,,,,,,,,,,,
ammonia, .10,-.02,-.19, .52,-.31, .07,-.12,-.35,-.26,-.39, .78,-.16,-.06, .90, .62, .42,-.11,-.94, .29,-.05,-.16,,,,,,,,,,,,,,,,,,,,,,
conductivity, .66,-.68, .82,-.24,-.53, .56,-.16,-.25,-.27,-.28,-.27,-.17,-.22,-.16,-.28,-.36, .13, .03, .02, .11, .10,-.02,,,,,,,,,,,,,,,,,,,,,
d_oxygen,-.19, .20,-.37, .40, .09,-.26, .06, .24, .08, .18, .32, .19, .01, .23, .37, .35,-.28,-.13,-.24,-.25,-.18, .03,-.31,,,,,,,,,,,,,,,,,,,,
doc, .23,-.30, .55,-.40,-.10, .24, .28,-.12, .14,-.04,-.43, .19, .33,-.23,-.52,-.60, .17, .10, .10, .10, .04, .14, .57,-.70,,,,,,,,,,,,,,,,,,,
nitrate, .53,-.55, .00,-.36,-.26, .50,-.20, .13,-.34,-.20,-.20, .05,-.28,-.21,-.31,-.35,-.84, .22,-.76,-.69,-.67,-.17,-.15, .16,-.23,,,,,,,,,,,,,,,,,,
ph, .14,-.20, .54, .06,-.15, .03, .12, .05, .02,-.00,-.03, .19, .06, .08,-.00,-.10, .09,-.14, .06, .09, .13, .14, .67, .26, .29,-.41,,,,,,,,,,,,,,,,,
phosphate, .49,-.54, .04,-.42,-.22, .48,-.18, .22,-.35,-.18,-.25, .11,-.28,-.23,-.37,-.42,-.89, .24,-.80,-.72,-.70,-.18,-.17, .05,-.15, .97,-.41,,,,,,,,,,,,,,,,
temperature, .64,-.59,-.14,-.04,-.61, .71,-.14, .10,-.24,-.07, .15,-.05,-.28, .16, .03,-.05,-.43,-.16,-.49,-.56,-.59, .08, .16, .29,-.37, .60,-.11, .47,,,,,,,,,,,,,,,
turbidity,-.54, .57,-.05, .01, .56,-.60,-.04,-.33, .17,-.02,-.19,-.24, .16,-.31,-.04, .12, .54, .33, .54, .64, .65,-.28,-.31,-.39, .20,-.35,-.40,-.32,-.77,,,,,,,,,,,,,,
gravel, .55,-.63, .36,-.37,-.30, .47,-.30, .23,-.51,-.30,-.20, .07,-.44,-.15,-.31,-.39,-.91, .12,-.75,-.65,-.59,-.12, .11, .06,-.06, .76, .02, .85, .33,-.48,,,,,,,,,,,,,
sand,-.80, .77,-.61, .22, .53,-.58, .63, .37, .79, .71,-.06, .41, .70,-.08,-.02, .05, .57, .15, .30, .23, .22,-.11,-.52,-.07, .03,-.56,-.24,-.52,-.55, .56,-.69,,,,,,,,,,,,
silt, .56,-.45, .62,-.24,-.32, .37,-.47,-.72,-.46,-.59,-.03,-.58,-.41,-.04, .03, .06, .24,-.05, .35, .42, .37, .04, .69,-.30, .25, .01, .18,-.10, .32,-.10,-.07,-.61,,,,,,,,,,,
canopy, .37,-.49, .33,-.49,-.19, .43, .31, .32, .18, .22,-.75, .41, .26,-.63,-.84,-.90,-.28, .58,-.58,-.45,-.41,-.38, .30,-.33, .60, .38, .01, .43,-.08, .10, .34,-.03,-.10,,,,,,,,,,
depth_mx,-.71, .71,-.27,-.13, .65,-.58, .56, .08, .64, .45, .02, .32, .64, .03, .09, .20, .59,-.02, .53, .49, .44, .09,-.22,-.07, .06,-.62, .06,-.62,-.30, .19,-.65, .57,-.05,-.46,,,,,,,,,
width,-.68, .60,-.29,-.19, .57,-.45, .82, .38, .87, .71,-.31, .61, .89,-.23,-.31,-.25, .54, .23, .26, .23, .19,-.07,-.22,-.29, .40,-.57,-.02,-.50,-.53, .40,-.59, .84,-.38, .11, .77,,,,,,,,
bluegreen_cyano, .19,-.24, .17, .27,-.23, .06,-.38, .17,-.52,-.32, .31,-.05,-.48, .33, .25, .13,-.66,-.32,-.37,-.40,-.32, .22,-.03, .35,-.24, .23, .32, .35,-.02,-.38, .69,-.42,-.35,-.07,-.52,-.52,,,,,,,
green_algae,-.38, .40,-.49, .41, .02,-.17, .00, .16, .17, .27, .24,-.16,-.01, .18, .25, .31, .47,-.13, .31, .20, .18,-.03,-.37,-.33,-.17,-.45,-.43,-.36,-.27, .37,-.41, .62,-.38,-.27, .20, .35,-.15,,,,,,
diatoms, .42,-.42, .19, .16,-.36, .27,-.37, .02,-.34,-.16,-.16,-.18,-.44,-.26,-.10,-.11,-.36, .29,-.46,-.31,-.20,-.40, .17, .46,-.31, .46, .13, .38, .25,-.12, .40,-.40, .02, .36,-.80,-.66, .36,-.33,,,,,
elevation_m, .44,-.37,-.16, .09,-.37, .38,-.38,-.32,-.55,-.56, .50,-.27,-.37, .54, .32, .18,-.63,-.55,-.21,-.40,-.49, .61,-.19, .03,-.13, .62,-.38, .59, .52,-.37, .43,-.52, .16,-.15,-.33,-.51, .23,-.26,-.06,,,,
dam_distance_km,-.38, .29,-.21,-.12, .20,-.08, .62, .86, .70, .84,-.39, .58, .48,-.38,-.38,-.33, .67, .42,-.17,-.04, .04,-.55, .02,-.04,-.06,-.47, .17,-.46,-.09,-.05,-.53, .58,-.41, .07, .54, .62,-.46, .52,-.32,-.81,,,
lake_density_sqkm,-.42, .47,-.55, .67, .06,-.35, .01,-.05, .00,-.05, .81,-.06, .06, .85, .73, .63, .10,-.81, .40, .08, .01, .77,-.46, .11,-.18,-.43,-.06,-.37,-.21,-.02,-.30, .36,-.41,-.62, .34, .21, .25, .47,-.54, .28,-.09,,
bay_distance_km,-.19, .15,-.36, .05, .17,-.14, .07, .25,-.10,-.06, .43, .27, .04, .49, .28, .18,-.63,-.45,-.26,-.43,-.46, .50,-.54, .25,-.27, .30,-.16, .40, .10,-.36, .43,-.08,-.47,-.31, .11,-.05, .53,-.08,-.35, .60,-.40, .59,
